scenario,asset_id,name,timestamp,tmrt_mean_10m,utci_mean_10m,utci_category,feasibility_this_scenario,feasibility_phase2_baseline,feasibility_phase1_proxy,utci_delta_vs_baseline,decision_changed_vs_phase2_baseline
SENS_B_minus20pct,A27,Jardines del Arquitecto Herrero Palacios,15:00,55.4,42.5,Extreme heat stress,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,-1.0,False
SENS_B_minus20pct,A14,Puerta de Alcalá,18:00,49.0,42.2,Extreme heat stress,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,NOT RECOMMENDED,-0.5,False
SENS_B_minus20pct,A15,Fuente de Cibeles,18:00,51.4,42.8,Extreme heat stress,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,NOT RECOMMENDED,-1.4,False
SENS_B_minus20pct,A16,Fuente de Neptuno,18:00,56.1,43.9,Extreme heat stress,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,NOT RECOMMENDED,-1.3,False
SENS_B_minus20pct,A17,Estatua de Goya,18:00,51.9,42.9,Extreme heat stress,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,-1.0,False
SENS_B_minus20pct,A18,Palacio de Cibeles - Ayuntamiento de Madrid,18:00,50.0,42.5,Extreme heat stress,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,-0.5,False
SENS_B_minus20pct,A19,Real Observatorio de Madrid,18:00,45.4,41.4,Extreme heat stress,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,NOT RECOMMENDED,-0.3,False
SENS_B_minus20pct,A20,Parque del Retiro,18:00,39.5,40.1,Extreme heat stress,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,0.0,False
SENS_B_minus20pct,A21,Real Jardín Botánico de Madrid,18:00,38.8,39.9,Extreme heat stress,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,0.0,False
SENS_B_minus20pct,A22,Palacio de Cristal,18:00,49.6,42.4,Extreme heat stress,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,-0.5,False
